,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
17852,8,CASH_IN,4891.21,C1309301031,52545.0,57436.21,C99219259,16208.5,11317.29,0.0,0.0
91055,10,CASH_IN,98779.04,C554280830,2789327.87,2888106.91,C1619402333,11066763.0,10967983.96,0.0,0.0
84629,10,CASH_IN,40748.83,C117445070,3067352.28,3108101.11,C229747691,1247595.22,1795986.72,0.0,0.0
152096,12,CASH_IN,139773.93,C2138659025,16743677.43,16883451.36,C726762476,565954.41,426180.47,0.0,0.0
69122,9,CASH_IN,137609.59,C370065820,28826175.44,28963785.04,C595383525,1005815.47,868205.88,0.0,0.0
18266,8,CASH_IN,151047.25,C1784383452,10623216.8,10774264.05,C1978557426,1031510.59,1581167.12,0.0,0.0
166049,12,CASH_IN,57307.9,C2140139813,6423231.47,6480539.37,C1334286581,1390499.2,1435949.46,0.0,0.0
133867,11,CASH_IN,203913.8,C341065433,254.0,204167.8,C466160470,0.0,0.0,0.0,0.0
186902,13,CASH_IN,19485.56,C1392534674,92337.0,111822.56,C1739110314,7086.0,0.0,0.0,0.0
15121,8,CASH_IN,30974.15,C1488723487,20799.0,51773.15,C662267010,26654.0,1605242.18,0.0,0.0
80033,10,CASH_IN,219469.4,C1750546350,7758409.82,7977879.23,C85497347,331979.53,112510.13,0.0,0.0
167407,12,CASH_IN,650671.85,C1743833546,13796004.04,14446675.89,C910951591,759660.92,200631.34,0.0,0.0
29104,8,CASH_IN,46516.07,C2047391,12693650.96,12740167.03,C111636207,2100967.12,3763219.68,0.0,0.0
61925,9,CASH_IN,22564.62,C488980206,6562835.37,6585399.99,C958693271,27450.0,0.0,0.0,0.0
25754,8,CASH_IN,192244.05,C2030831564,2751214.84,2943458.89,C285527187,1535856.93,1728663.24,0.0,0.0
73380,10,CASH_IN,279109.89,C1467430712,19809.0,298918.89,C307531674,715458.48,436348.59,0.0,0.0
